"","enzyme_gene","class"
"1029","ZNRF3","RING-type E3 ubiquitin transferase"
"1030","ZNRF4","RING-type E3 ubiquitin transferase"
"1031","ZSWM2","RING-type E3 ubiquitin transferase"
"1032","AKIB1","RBR-type E3 ubiquitin transferase"
"1033","ARI1","RBR-type E3 ubiquitin transferase"
"1034","ARI2","RBR-type E3 ubiquitin transferase"
"1035","HOIL1","RBR-type E3 ubiquitin transferase"
"1036","PRKN","RBR-type E3 ubiquitin transferase"
"1037","R144A","RBR-type E3 ubiquitin transferase"
"1038","R144B","RBR-type E3 ubiquitin transferase"
"1039","RN19A","RBR-type E3 ubiquitin transferase"
"1040","RN19B","RBR-type E3 ubiquitin transferase"
"1041","RN217","RBR-type E3 ubiquitin transferase"
"1042","RNF14","RBR-type E3 ubiquitin transferase"
"1043","RNF31","RBR-type E3 ubiquitin transferase"
"1044","RBX1","Cullin-RING-type E3 NEDD8 transferase"
"1045","UBE2F","Cullin-RING-type E3 NEDD8 transferase"
"1046","CISY","Citrate (Si)-synthase"
"1047","ACLY","ATP citrate synthase"
"1048","CLYBL","Malate synthase"
"1049","HMCS1","Hydroxymethylglutaryl-CoA synthase"
"1050","HMCS2","Hydroxymethylglutaryl-CoA synthase"
"1051","PYGB","Glycogen phosphorylase"
"1052","PYGL","Glycogen phosphorylase"
"1053","PYGM","Glycogen phosphorylase"
"1054","GYS1","Glycogen(starch) synthase"
"1055","GYS2","Glycogen(starch) synthase"
"1056","UD110","Glucuronosyltransferase"
"1057","UD11","Glucuronosyltransferase"
"1058","UD13","Glucuronosyltransferase"
"1059","UD14","Glucuronosyltransferase"
"1060","UD15","Glucuronosyltransferase"
"1061","UD16","Glucuronosyltransferase"
"1062","UD17","Glucuronosyltransferase"
"1063","UD18","Glucuronosyltransferase"
"1064","UD19","Glucuronosyltransferase"
"1065","UD2A1","Glucuronosyltransferase"
"1066","UD2A3","Glucuronosyltransferase"
"1067","UD2B4","Glucuronosyltransferase"
"1068","UD2B7","Glucuronosyltransferase"
"1069","UD3A1","Glucuronosyltransferase"
"1070","UD3A2","Glucuronosyltransferase"
"1071","UDB10","Glucuronosyltransferase"
"1072","UDB11","Glucuronosyltransferase"
"1073","UDB15","Glucuronosyltransferase"
"1074","UDB17","Glucuronosyltransferase"
"1075","UDB28","Glucuronosyltransferase"
"1076","GLGB","1,4-alpha-glucan branching enzyme"
"1077","B4GT1","Lactose synthase"
"1078","B4GT2","Lactose synthase"
"1079","GDE","4-alpha-glucanotransferase"
"1080","BGAT","Fucosylgalactoside 3-alpha-galactosyltransferase"
"1081","B4GT1","Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase"
"1082","B4GT2","Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase"
"1083","B4GT3","Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase"
"1084","BGAT","Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase"
"1085","GALT1","Polypeptide N-acetylgalactosaminyltransferase"
"1086","GALT2","Polypeptide N-acetylgalactosaminyltransferase"
"1087","GALT3","Polypeptide N-acetylgalactosaminyltransferase"
"1088","GALT4","Polypeptide N-acetylgalactosaminyltransferase"
"1089","GALT5","Polypeptide N-acetylgalactosaminyltransferase"
"1090","GALT6","Polypeptide N-acetylgalactosaminyltransferase"
"1091","GALT8","Polypeptide N-acetylgalactosaminyltransferase"
"1092","GALT9","Polypeptide N-acetylgalactosaminyltransferase"
"1093","GLT10","Polypeptide N-acetylgalactosaminyltransferase"
"1094","GLT11","Polypeptide N-acetylgalactosaminyltransferase"
"1095","GLT12","Polypeptide N-acetylgalactosaminyltransferase"
"1096","GLT13","Polypeptide N-acetylgalactosaminyltransferase"
"1097","GLT14","Polypeptide N-acetylgalactosaminyltransferase"
"1098","GLT15","Polypeptide N-acetylgalactosaminyltransferase"
"1099","GLT16","Polypeptide N-acetylgalactosaminyltransferase"
"1100","GLT17","Polypeptide N-acetylgalactosaminyltransferase"
"1101","GLT18","Polypeptide N-acetylgalactosaminyltransferase"
"1102","GLTL6","Polypeptide N-acetylgalactosaminyltransferase"
"1103","CGT","N-acylsphingosine galactosyltransferase"
"1104","GT251","Procollagen galactosyltransferase"
"1105","GT252","Procollagen galactosyltransferase"
"1106","PLOD3","Procollagen galactosyltransferase"
"1107","B3GT4","Ganglioside galactosyltransferase"
"1108","FUT3","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase"
"1109","FUT5","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase"
"1110","FUT6","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase"
"1111","PLOD3","Procollagen glucosyltransferase"
"1112","FUT8","Glycoprotein 6-alpha-L-fucosyltransferase"
"1113","FUT2","Type 1 galactoside alpha-(1,2)-fucosyltransferase"
"1114","B3GL1","Globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase"
"1115","CEGT","Ceramide glucosyltransferase"
"1116","DPM1","Dolichyl-phosphate beta-D-mannosyltransferase"
"1117","B3GT1","N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase"
"1118","B3GT2","N-acetyl-beta-D-glucosaminide beta-(1,3)-galactosyltransferase"
"1119","A3LT2","N-acetyllactosaminide 3-alpha-galactosyltransferase"
"1120","B4GT1","N-acetyllactosamine synthase"
"1121","B4GT2","N-acetyllactosamine synthase"
"1122","B4GT3","N-acetyllactosamine synthase"
"1123","B4GT4","N-acetyllactosamine synthase"
"1124","B4GN1","N-acetylgalactosaminyltransferase"
"1125","MGAT1","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"1126","GCNT1","acetylglucosaminyltransferase"
"1127","GCNT3","acetylglucosaminyltransferase"
"1128","GCNT4","acetylglucosaminyltransferase"
"1129","POMT1","Dolichyl-phosphate-mannose--protein mannosyltransferase"
"1130","POMT2","Dolichyl-phosphate-mannose--protein mannosyltransferase"
"1131","ALG5","Dolichyl-phosphate beta-glucosyltransferase"
"1132","C1GLT","N-acetylgalactosaminide beta-1,3-galactosyltransferase"
"1133","ALG11","GDP-Man:Man(3)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase"
"1134","ALG2","GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase"
"1135","B4GT7","Xylosylprotein 4-beta-galactosyltransferase"
"1136","B3GT6","Galactosylxylosylprotein 3-beta-galactosyltransferase"
"1137","B3GA1","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase"
"1138","B3GA2","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase"
"1139","B3GA3","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase"
"1140","ALG13","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase"
"1141","ALG1","Chitobiosyldiphosphodolichol beta-mannosyltransferase"
"1142","MGAT2","Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
"1143","MGAT3","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"1144","MGT4A","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"1145","MGT4B","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"1146","MGT4C","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"1147","B3GN3","acetylglucosaminyltransferase"
"1148","B3GN6","acetylglucosaminyltransferase"
"1149","GCNT3","acetylglucosaminyltransferase"
"1150","B3GN2","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"
"1151","B3GN3","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"
"1152","B3GN4","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase"
"1153","GCNT3","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase"
"1154","GNT2A","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase"
"1155","MGT5A","Alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase"
"1156","MGT5B","Alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase"
"1157","CGAT1","acetylgalactosaminyltransferase"
"1158","CGAT2","acetylgalactosaminyltransferase"
"1159","CHSS1","acetylgalactosaminyltransferase"
"1160","CHSS2","acetylgalactosaminyltransferase"
"1161","CHSS3","acetylgalactosaminyltransferase"
"1162","GLYG2","Glycogenin glucosyltransferase"
"1163","GLYG","Glycogenin glucosyltransferase"
"1164","PIGA","Phosphatidylinositol N-acetylglucosaminyltransferase"
"1165","PIGC","Phosphatidylinositol N-acetylglucosaminyltransferase"
"1166","PIGH","Phosphatidylinositol N-acetylglucosaminyltransferase"
"1167","PIGP","Phosphatidylinositol N-acetylglucosaminyltransferase"
"1168","PIGQ","Phosphatidylinositol N-acetylglucosaminyltransferase"
"1169","B3GN5","Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase"
"1170","HYAS1","Hyaluronan synthase"
"1171","HYAS2","Hyaluronan synthase"
"1172","HYAS3","Hyaluronan synthase"
"1173","OFUT1","Peptide-O-fucosyltransferase"
"1174","OFUT2","Peptide-O-fucosyltransferase"
"1175","LFNG","O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"1176","MFNG","O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"1177","RFNG","O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"1178","EXTL2","acetylglucosaminyltransferase"
"1179","EXTL3","acetylglucosaminyltransferase"
"1180","EXT1","acetylglucosaminyltransferase"
"1181","EXT2","acetylglucosaminyltransferase"
"1182","EXTL1","acetylglucosaminyltransferase"
"1183","EXT1","N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase"
"1184","EXT2","N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase"
"1185","CHPF2","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase"
"1186","CHSS1","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase"
"1187","CHSS2","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase"
"1188","CHSS3","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase"
"1189","A4GAT","Lactosylceramide 4-alpha-galactosyltransferase"
"1190","B4GN3","acetylgalactosaminyltransferase"
"1191","B4GN4","acetylgalactosaminyltransferase"
"1192","EOGT","Protein O-GlcNAc transferase"
"1193","OGT1","Protein O-GlcNAc transferase"
"1194","AG10A","glucosyltransferase"
"1195","AG10B","glucosyltransferase"
"1196","ALG2","GDP-Man:Man(2)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase"
"1197","ALG3","Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase"
"1198","ALG9","Dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase"
"1199","ALG12","Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase"
"1200","ALG9","Dolichyl-P-Man:Man(8)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase"
"1201","ALG8","glucosyltransferase"
"1202","ALG6","Dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase"
"1203","B4GT6","Glucosylceramide beta-1,4-galactosyltransferase"
"1204","B4GT4","Neolactotriaosylceramide beta-1,4-galactosyltransferase"
"1205","PMGT2","Protein O-mannose beta-1,4-N-acetylglucosaminyltransferase"
"1206","B3GL2","Protein O-mannose beta-1,3-N-acetylgalactosaminyltransferase"
"1207","FUT1","Type 2 galactoside alpha-(1,2)-fucosyltransferase"
"1208","FUT2","Type 2 galactoside alpha-(1,2)-fucosyltransferase"
"1209","PNPH","Purine-nucleoside phosphorylase"
"1210","UPP1","Uridine phosphorylase"
"1211","UPP2","Uridine phosphorylase"
"1212","TYPH","Thymidine phosphorylase"
"1213","APT","Adenine phosphoribosyltransferase"
"1214","HPRT","Hypoxanthine phosphoribosyltransferase"
"1215","UMPS","Orotate phosphoribosyltransferase"
"1216","NAMPT","Nicotinamide phosphoribosyltransferase"
"1217","PUR1","Amidophosphoribosyltransferase"
"1218","NADC","Nicotinate-nucleotide diphosphorylase (carboxylating)"
"1219","PGLT1","Protein xylosyltransferase"
"1220","XYLT1","Protein xylosyltransferase"
"1221","XYLT2","Protein xylosyltransferase"
"1222","MTAP","S-methyl-5'-thioadenosine phosphorylase"
"1223","TGT","tRNA-guanine(34) transglycosylase"
"1224","PAR10","NAD(+) ADP-ribosyltransferase"
"1225","PAR11","NAD(+) ADP-ribosyltransferase"
"1226","PAR12","NAD(+) ADP-ribosyltransferase"
"1227","PAR14","NAD(+) ADP-ribosyltransferase"
"1228","PAR15","NAD(+) ADP-ribosyltransferase"
"1229","PAR16","NAD(+) ADP-ribosyltransferase"
"1230","PARP1","NAD(+) ADP-ribosyltransferase"
"1231","PARP2","NAD(+) ADP-ribosyltransferase"
"1232","PARP3","NAD(+) ADP-ribosyltransferase"
"1233","PARP4","NAD(+) ADP-ribosyltransferase"
"1234","PARP6","NAD(+) ADP-ribosyltransferase"
"1235","PARP8","NAD(+) ADP-ribosyltransferase"
"1236","PARP9","NAD(+) ADP-ribosyltransferase"
"1237","PARPT","NAD(+) ADP-ribosyltransferase"
"1238","TNKS1","NAD(+) ADP-ribosyltransferase"
"1239","TNKS2","NAD(+) ADP-ribosyltransferase"
"1240","NAR1","NAD(+)--protein-arginine ADP-ribosyltransferase"
"1241","NAR3","NAD(+)--protein-arginine ADP-ribosyltransferase"
"1242","NAR4","NAD(+)--protein-arginine ADP-ribosyltransferase"
"1243","NAR5","NAD(+)--protein-arginine ADP-ribosyltransferase"
"1244","GXLT1","UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase"
"1245","GXLT2","UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase"
"1246","XXLT1","Xyloside xylosyltransferase"
"1247","SIAT1","Beta-galactoside alpha-(2,6)-sialyltransferase"
"1248","SIAT2","Beta-galactoside alpha-(2,6)-sialyltransferase"
"1249","SIA4C","sialyltransferase"
"1250","SIA7A","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase"
"1251","SIA7B","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase"
"1252","SIA4A","Beta-galactoside alpha-2,3-sialyltransferase"
"1253","SIA4B","Beta-galactoside alpha-2,3-sialyltransferase"
"1254","SIA4C","Beta-galactoside alpha-2,3-sialyltransferase"
"1255","SIAT6","N-acetyllactosaminide alpha-2,3-sialyltransferase"
"1256","SIA7C","6-alpha-sialyltransferase"
"1257","SIA7D","6-alpha-sialyltransferase"
"1258","SIA8A","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase"
"1259","SIAT9","Lactosylceramide alpha-2,3-sialyltransferase"
"1260","STT3A","Dolichyl-diphosphooligosaccharide--protein glycotransferase"
"1261","STT3B","Dolichyl-diphosphooligosaccharide--protein glycotransferase"
"1262","CD38","2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase"
"1263","FPPS","Dimethylallyltranstransferase"
"1264","GGPPS","Dimethylallyltranstransferase"
"1265","METK1","Methionine adenosyltransferase"
"1266","METK2","Methionine adenosyltransferase"
"1267","FPPS","(2E,6E)-farnesyl diphosphate synthase"
"1268","GGPPS","(2E,6E)-farnesyl diphosphate synthase"
"1269","SPEE","Spermidine synthase"
"1270","MMAB","Corrinoid adenosyltransferase"
"1271","GST2","Glutathione transferase"
"1272","GSTA1","Glutathione transferase"
"1273","GSTA2","Glutathione transferase"
"1274","GSTA3","Glutathione transferase"
"1275","GSTA4","Glutathione transferase"
"1276","GSTA5","Glutathione transferase"
"1277","GSTK1","Glutathione transferase"
"1278","GSTM1","Glutathione transferase"
"1279","GSTM2","Glutathione transferase"
"1280","GSTM3","Glutathione transferase"
"1281","GSTM4","Glutathione transferase"
"1282","GSTM5","Glutathione transferase"
"1283","GSTO1","Glutathione transferase"
"1284","GSTO2","Glutathione transferase"
"1285","GSTP1","Glutathione transferase"
"1286","GSTT1","Glutathione transferase"
"1287","GSTT2","Glutathione transferase"
"1288","GSTT4","Glutathione transferase"
"1289","HPGDS","Glutathione transferase"
"1290","MAAI","Glutathione transferase"
"1291","MGST1","Glutathione transferase"
"1292","MGST2","Glutathione transferase"
"1293","MGST3","Glutathione transferase"
"1294","FDFT","Squalene synthase"
"1295","SPSY","Spermine synthase"
"1296","ADAS","Alkylglycerone-phosphate synthase"
"1297","GGPPS","Geranylgeranyl diphosphate synthase"
"1298","COQ2","4-hydroxybenzoate polyprenyltransferase"
"1299","DHYS","Deoxyhypusine synthase"
"1300","SIAS","N-acetylneuraminate synthase"
"1301","SIAS","N-acylneuraminate-9-phosphate synthase"
"1302","FNTA","Protein farnesyltransferase"
"1303","FNTB","Protein farnesyltransferase"
"1304","FNTA","Protein geranylgeranyltransferase type I"
"1305","PGTB1","Protein geranylgeranyltransferase type I"
"1306","PGTA","Protein geranylgeranyltransferase type II"
"1307","PGTB2","Protein geranylgeranyltransferase type II"
"1308","HEM3","Hydroxymethylbilane synthase"
"1309","MOD5","tRNA dimethylallyltransferase"
"1310","DHDDS","diphosphate specific)"
"1311","NGBR","diphosphate specific)"
"1312","DLP1","All-trans-decaprenyl-diphosphate synthase"
"1313","DPS1","All-trans-decaprenyl-diphosphate synthase"
"1314","DPH1","2-(3-amino-3-carboxypropyl)histidine synthase"
"1315","DPH2","2-(3-amino-3-carboxypropyl)histidine synthase"
"1316","TYW2","tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase"
"1317","COX10","Heme o synthase"
"1318","AATC","Aspartate transaminase"
"1319","AATM","Aspartate transaminase"
"1320","ALAT1","Alanine transaminase"
"1321","ALAT2","Alanine transaminase"
"1322","AATC","Cysteine transaminase"
"1323","ATTY","Tyrosine transaminase"
"1324","AADAT","Kynurenine--oxoglutarate transaminase"
"1325","AATM","Kynurenine--oxoglutarate transaminase"
"1326","KAT1","Kynurenine--oxoglutarate transaminase"
"1327","KAT3","Kynurenine--oxoglutarate transaminase"
"1328","OAT","Ornithine aminotransferase"
"1329","GFPT1","Glutamine--fructose-6-phosphate transaminase (isomerizing)"
"1330","GFPT2","Glutamine--fructose-6-phosphate transaminase (isomerizing)"
"1331","GABT","4-aminobutyrate--2-oxoglutarate transaminase"
"1332","GABT","(S)-3-amino-2-methylpropionate transaminase"
"1333","AADAT","2-aminoadipate transaminase"
"1334","AGT2","(R)-3-amino-2-methylpropionate--pyruvate transaminase"
"1335","BCAT1","Branched-chain-amino-acid transaminase"
"1336","BCAT2","Branched-chain-amino-acid transaminase"
"1337","AGT2","Alanine--glyoxylate transaminase"
"1338","SPYA","Alanine--glyoxylate transaminase"
"1339","SPYA","Serine--pyruvate transaminase"
"1340","SERC","Phosphoserine transaminase"
"1341","KAT3","Kynurenine--glyoxylate transaminase"
"1342","KAT1","Glutamine--phenylpyruvate transaminase"
"1343","HKDC1","Hexokinase"
"1344","HXK1","Hexokinase"
"1345","HXK2","Hexokinase"
"1346","HXK3","Hexokinase"
"1347","HXK4","Glucokinase"
"1348","KHK","Ketohexokinase"
"1349","GALK1","Galactokinase"
"1350","PFKAL","6-phosphofructokinase"
"1351","PFKAM","6-phosphofructokinase"
"1352","PFKAP","6-phosphofructokinase"
"1353","GNTK","Gluconokinase"
"1354","SHPK","Sedoheptulokinase"
"1355","RBSK","Ribokinase"
"1356","XYLB","Xylulokinase"
"1357","ADK","Adenosine kinase"
"1358","KITH","Thymidine kinase"
"1359","KITM","Thymidine kinase"
"1360","NRK1","Ribosylnicotinamide kinase"
"1361","NRK2","Ribosylnicotinamide kinase"
"1362","NADK","NAD(+) kinase"
"1363","NAKD2","NAD(+) kinase"
"1364","COASY","Dephospho-CoA kinase"
"1365","PAPS1","Adenylyl-sulfate kinase"
"1366","PAPS2","Adenylyl-sulfate kinase"
"1367","RIFK","Riboflavin kinase"
"1368","TKFC","Triokinase"
"1369","TKFC","Glycerone kinase"
"1370","GLPK2","Glycerol kinase"
"1371","GLPK3","Glycerol kinase"
"1372","GLPK5","Glycerol kinase"
"1373","GLPK","Glycerol kinase"
"1374","GLCTK","Glycerate 3-kinase"
"1375","CHKA","Choline kinase"
"1376","CHKB","Choline kinase"
"1377","PANK1","Pantothenate kinase"
"1378","PANK2","Pantothenate kinase"
"1379","PANK3","Pantothenate kinase"
"1380","PANK4","Pantothenate kinase"
"1381","PDXK","Pyridoxal kinase"
"1382","KIME","Mevalonate kinase"
"1383","KPYM","Pyruvate kinase"
"1384","KPYR","Pyruvate kinase"
"1385","UCK1","Uridine kinase"
"1386","UCK2","Uridine kinase"
"1387","UCKL1","Uridine kinase"
"1388","FUK","Fucokinase"
"1389","NAGK","N-acetylglucosamine kinase"
"1390","GLCNE","N-acylmannosamine kinase"
"1391","P4K2A","1-phosphatidylinositol 4-kinase"
"1392","P4K2B","1-phosphatidylinositol 4-kinase"
"1393","PI4KA","1-phosphatidylinositol 4-kinase"
"1394","PI4KB","1-phosphatidylinositol 4-kinase"
"1395","PI51A","1-phosphatidylinositol-4-phosphate 5-kinase"
"1396","PI51B","1-phosphatidylinositol-4-phosphate 5-kinase"
"1397","PI51C","1-phosphatidylinositol-4-phosphate 5-kinase"
"1398","PI5L1","1-phosphatidylinositol-4-phosphate 5-kinase"
"1399","DCK","Deoxycytidine kinase"
"1400","CLP1","Polynucleotide 5'-hydroxyl-kinase"
"1401","PNKP","Polynucleotide 5'-hydroxyl-kinase"
"1402","HYKK","Hydroxylysine kinase"
"1403","CHKA","Ethanolamine kinase"
"1404","CHKB","Ethanolamine kinase"
"1405","EKI1","Ethanolamine kinase"
"1406","EKI2","Ethanolamine kinase"
"1407","SPHK1","Sphingosine kinase"
"1408","SPHK2","Sphingosine kinase"
"1409","AGK","Acylglycerol kinase"
"1410","F261","6-phosphofructo-2-kinase"
"1411","F262","6-phosphofructo-2-kinase"
"1412","F263","6-phosphofructo-2-kinase"
"1413","F264","6-phosphofructo-2-kinase"
"1414","PGM2L","Glucose-1,6-bisphosphate synthase"
"1415","AGK","Diacylglycerol kinase (ATP)"
"1416","DGKA","Diacylglycerol kinase (ATP)"
"1417","DGKB","Diacylglycerol kinase (ATP)"
"1418","DGKD","Diacylglycerol kinase (ATP)"
"1419","DGKE","Diacylglycerol kinase (ATP)"
"1420","DGKG","Diacylglycerol kinase (ATP)"
"1421","DGKH","Diacylglycerol kinase (ATP)"
"1422","DGKI","Diacylglycerol kinase (ATP)"
"1423","DGKK","Diacylglycerol kinase (ATP)"
"1424","DGKQ","Diacylglycerol kinase (ATP)"
"1425","DGKZ","Diacylglycerol kinase (ATP)"
"1426","DOLK","Dolichol kinase"
"1427","DGUOK","Deoxyguanosine kinase"
"1428","IP3KA","Inositol-trisphosphate 3-kinase"
"1429","IP3KB","Inositol-trisphosphate 3-kinase"
"1430","IP3KC","Inositol-trisphosphate 3-kinase"
"1431","ITPK1","Inositol-tetrakisphosphate 1-kinase"
"1432","PK3C3","Phosphatidylinositol 3-kinase"
"1433","CERK1","Ceramide kinase"
"1434","ADPGK","ADP-specific glucokinase"
"1435","PI42A","1-phosphatidylinositol-5-phosphate 4-kinase"
"1436","PI42B","1-phosphatidylinositol-5-phosphate 4-kinase"
"1437","PI42C","1-phosphatidylinositol-5-phosphate 4-kinase"
"1438","FYV1","1-phosphatidylinositol-3-phosphate 5-kinase"
"1439","IPMK","Inositol-polyphosphate multikinase"
"1440","PK3CA","Phosphatidylinositol-4,5-bisphosphate 3-kinase"
"1441","PK3CB","Phosphatidylinositol-4,5-bisphosphate 3-kinase"
"1442","PK3CD","Phosphatidylinositol-4,5-bisphosphate 3-kinase"
"1443","PK3CG","Phosphatidylinositol-4,5-bisphosphate 3-kinase"
"1444","P3C2A","Phosphatidylinositol-4-phosphate 3-kinase"
"1445","P3C2B","Phosphatidylinositol-4-phosphate 3-kinase"
"1446","P3C2G","Phosphatidylinositol-4-phosphate 3-kinase"
"1447","GALK2","N-acetylgalactosamine kinase"
"1448","IPPK","Inositol-pentakisphosphate 2-kinase"
"1449","ITPK1","Inositol-1,3,4-trisphosphate 5/6-kinase"
"1450","TRPT1","2'-phosphotransferase"
"1451","PSTK","O-phosphoseryl-tRNA(Sec) kinase"
"1452","NRK1","Nicotinate riboside kinase"
"1453","NRK2","Nicotinate riboside kinase"
"1454","SG196","Glycoprotein-mannosyl O(6)-kinase"
"1455","PGK1","Phosphoglycerate kinase"
"1456","PGK2","Phosphoglycerate kinase"
"1457","P5CS","Glutamate 5-kinase"
"1458","KCRB","Creatine kinase"
"1459","KCRM","Creatine kinase"
"1460","KCRS","Creatine kinase"
"1461","KCRU","Creatine kinase"
"1462","PMVK","Phosphomevalonate kinase"
"1463","KAD1","Adenylate kinase"
"1464","KAD2","Adenylate kinase"
"1465","KAD5","Adenylate kinase"
"1466","KAD6","Adenylate kinase"
"1467","KAD7","Adenylate kinase"
"1468","KAD8","Adenylate kinase"
"1469","KAD9","Nucleoside-phosphate kinase"
"1470","CMPK2","Nucleoside-diphosphate kinase"
"1471","KAD1","Nucleoside-diphosphate kinase"
"1472","KAD4","Nucleoside-diphosphate kinase"
"1473","KAD5","Nucleoside-diphosphate kinase"
"1474","KAD7","Nucleoside-diphosphate kinase"
"1475","KAD8","Nucleoside-diphosphate kinase"
"1476","KAD9","Nucleoside-diphosphate kinase"
"1477","KCY","Nucleoside-diphosphate kinase"
"1478","NDK3","Nucleoside-diphosphate kinase"
"1479","NDK6","Nucleoside-diphosphate kinase"
"1480","NDK7","Nucleoside-diphosphate kinase"
"1481","NDK8","Nucleoside-diphosphate kinase"
"1482","NDKA","Nucleoside-diphosphate kinase"
"1483","NDKB","Nucleoside-diphosphate kinase"
"1484","NDKM","Nucleoside-diphosphate kinase"
"1485","KGUA","Guanylate kinase"
"1486","KTHY","dTMP kinase"
"1487","KAD3","Nucleoside-triphosphate--adenylate kinase"
"1488","KAD4","Nucleoside-triphosphate--adenylate kinase"
"1489","CMPK2","UMP/CMP kinase"
"1490","KCY","UMP/CMP kinase"
"1491","IP6K1","Inositol-hexakisphosphate kinase"
"1492","IP6K2","Inositol-hexakisphosphate kinase"
"1493","IP6K3","Inositol-hexakisphosphate kinase"
"1494","VIP1","Inositol-hexakisphosphate kinase"
"1495","VIP2","Inositol-hexakisphosphate kinase"
"1496","VIP1","Diphosphoinositol-pentakisphosphate kinase"
"1497","VIP2","Diphosphoinositol-pentakisphosphate kinase"
"1498","PRPS1","Ribose-phosphate diphosphokinase"
"1499","PRPS2","Ribose-phosphate diphosphokinase"
"1500","PRPS3","Ribose-phosphate diphosphokinase"
"1501","TPK1","Thiamine diphosphokinase"
"1502","NMNA1","Nicotinamide-nucleotide adenylyltransferase"
"1503","NMNA2","Nicotinamide-nucleotide adenylyltransferase"
"1504","NMNA3","Nicotinamide-nucleotide adenylyltransferase"
"1505","FAD1","FAD synthetase"
"1506","COASY","Pantetheine-phosphate adenylyltransferase"
"1507","PAPS1","Sulfate adenylyltransferase"
"1508","PAPS2","Sulfate adenylyltransferase"
"1509","RPA1","DNA-directed RNA polymerase"
"1510","RPA2","DNA-directed RNA polymerase"
"1511","RPB1","DNA-directed RNA polymerase"
"1512","RPB2","DNA-directed RNA polymerase"
"1513","RPC1","DNA-directed RNA polymerase"
"1514","RPC2","DNA-directed RNA polymerase"
"1515","RPOM","DNA-directed RNA polymerase"
"1516","DPOD1","DNA-directed DNA polymerase"
